 Upstream,Downstream,Observed Water Level (IC),Canal Segement
25858,1218,100077,"25858, 25677, 25499, 25323, 25148, 24973, 24799, 24619, 24439, 24260, 24077, 23897, 23716, 23535, 23361, 23187, 23014, 22841, 22668, 22497, 22326, 22155, 22154, 22153, 21982, 21811, 21640, 21473, 21310, 21145, 20981, 20982, 20983, 20984, 20985, 20822, 20661, 20503, 20349, 20196, 20042, 19891, 19740, 19593, 19453, 19314, 19174, 19035, 18896, 18758, 18624, 18490, 18355, 18220, 18082, 17944, 17805, 17666, 17527, 17388, 17250, 17251, 17252, 17253, 17254, 17116, 17117, 16982, 16983, 16850, 16717, 16718, 16719, 16720, 16855, 16856, 16857, 16723, 16589, 16453, 16319, 16185, 16050, 15915, 15780, 15644, 15506, 15370, 15234, 15100, 14966, 14832, 14698, 14567, 14566, 14435, 14303, 14302, 14175, 14174, 14050, 13927, 13928, 13807, 13685, 13562, 13440, 13317, 13194, 13070, 12947, 12821, 12694, 12553, 12410, 12265, 12117, 11970, 11822, 11673, 11525, 11378, 11232, 11085, 10939, 10792, 10644, 10495, 10346, 10198, 10046, 9895, 9743, 9588, 9589, 9590, 9434, 9276, 9108, 8939, 8769, 8770, 8598, 8431, 8265, 8095, 7925, 7754, 7584, 7415, 7416, 7246, 7077, 6906, 6734, 6733, 6732, 6559, 6382, 6204, 6027, 5849, 5671, 5672, 5673, 5495, 5316, 5135, 4956, 4776, 4597, 4418, 4242, 4068, 3898, 3899, 3739, 3740, 3741, 3902, 4072, 4247, 4248, 4074, 3904, 3744, 3587, 3431, 3277, 3131, 2987, 2844, 2705, 2567, 2437, 2308, 2181, 2054, 2055, 1930, 1931, 1932, 1808, 1934, 1935, 2062, 2190, 2319, 2320, 2450, 2451, 2452, 2453, 2454, 2326, 2199, 2073, 1947, 1822, 1695, 1569, 1444, 1330, 1218"
7742,2986,100069,"7742, 7572, 7402, 7233, 7062, 6892, 6720, 6548, 6370, 6369, 6191, 6014, 5837, 5838, 5660, 5482, 5303, 5124, 4945, 4766, 4587, 4407, 4406, 4405, 4404, 4228, 4054, 3885, 3886, 3887, 3888, 3889, 3730, 3731, 3732, 3733, 3576, 3420, 3267, 3121, 2978, 2835, 2836, 2697, 2559, 2560, 2561, 2700, 2840, 2841, 2985, 2986"
5792,7364,100066,"5792, 5793, 5972, 6149, 6328, 6506, 6679, 6850, 7021, 7022, 7193, 7364"
10458,10045,100066,"10458, 10606, 10752, 10899, 11045, 11193, 11339, 11488, 11637, 11787, 11936, 12085, 12086, 12087, 12088, 11941, 11942, 11795, 11796, 11648, 11649, 11502, 11355, 11356, 11357, 11358, 11359, 11360, 11215, 11216, 11069, 10923, 10924, 10778, 10779, 10780, 10634, 10635, 10487, 10340, 10193, 10194, 10195, 10045"
2812,2544,100068,"2812, 2813, 2814, 2957, 2958, 2959, 2816, 2677, 2540, 2679, 2680, 2543, 2544"
2668,2398,100068,"2668, 2529, 2528, 2398"
1424,488,100067,"1424, 1310, 1198, 1096, 1003, 911, 822, 734, 735, 736, 651, 568, 488"
2009,2264,100066,"2009, 2136, 2264"
4947,5125,100069,"4947, 5126, 5125"
5843,5483,100069,"5843, 5664, 5663, 5485, 5484, 5483"
6514,6686,100066,"6514, 6686"
7531,7027,100066,7531 7532 7533 7534 7365 7196 7027
6857,6690,100066,"6857, 6858, 6859, 6689, 6690"
2380,2384,100070,"2380, 2381, 2382, 2383, 2384"
6017,6376,100069,"6017, 6194, 6372, 6550, 6551, 6375, 6376"
3397,2954,100068,"3397, 3244, 3098, 2954"
7387,5103,100068,"7387, 7217, 7046, 6876, 6705, 6532, 6355, 6176, 5999, 5821, 5641, 5463, 5284, 5103"
2032,2287,100068,"2032, 2159, 2287"
1782,2410,100068,"1782, 1907, 1906, 2031, 2157, 2284, 2283, 2282, 2281, 2410"
5819,6700,100068,"5819, 5996, 6173, 6351, 6528, 6700"
2430,1798,100067,"2430, 2301, 2302, 2303, 2175, 2049, 1923, 1922, 1798"
329,1804,100067,"329, 395, 469, 550, 633, 720, 809, 898, 991, 1086, 1189, 1190, 1302, 1417, 1542, 1669, 1670, 1671, 1546, 1547, 1548, 1675, 1803, 1804"
7405,7234,100069,"7405, 7235, 7234"
10003,6518,100066,"10003, 10004, 10005, 10006, 10007, 10008, 10009, 10160, 10309, 10310, 10162, 10012, 9862, 9863, 9864, 9865, 9866, 9715, 9559, 9403, 9244, 9077, 8908, 8738, 8566, 8399, 8232, 8061, 7891, 7720, 7719, 7548, 7547, 7376, 7375, 7204, 7033, 6862, 6691, 6518"
1054,2013,100070,"1054, 1157, 1269, 1384, 1508, 1635, 1762, 1887, 2013"
1514,1509,100068,"1514, 1513, 1638, 1511, 1510, 1509"
6190,6545,100069,"6190, 6368, 6545"
1148,290,100070,"1148, 1046, 951, 859, 769, 681, 594, 510, 429, 356, 290"
775,1053,100070,"775, 865, 866, 958, 1053"
782,960,100070,"782, 871, 870, 869, 868, 960"
1537,1300,100067,"1537, 1413, 1300"
1783,2290,100068,"1783, 1909, 2035, 2162, 2290"
37028,26035,100077,"37028, 37029, 36856, 36691, 36531, 36375, 36374, 36373, 36372, 36371, 36370, 36213, 36057, 35901, 35745, 35589, 35432, 35275, 35115, 34954, 34792, 34624, 34456, 34289, 34118, 33935, 33752, 33569, 33386, 33202, 33016, 32830, 32645, 32461, 32277, 32093, 31910, 31726, 31542, 31355, 31167, 30977, 30787, 30596, 30405, 30404, 30403, 30402, 30209, 30208, 30207, 30013, 29820, 29626, 29431, 29227, 29024, 28821, 28618, 28415, 28414, 28616, 28412, 28411, 28208, 28002, 27796, 27592, 27390, 27192, 26996, 26803, 26802, 26801, 26800, 26799, 26609, 26422, 26237, 26236, 26235, 26234, 26233, 26416, 26415, 26230, 26229, 26228, 26227, 26226, 26409, 26224, 26223, 26222, 26040, 26039, 26038, 26037, 26036, 26035"
41550,37206,100077,"41550, 41549, 41519, 41468, 41467, 41466, 41465, 41464, 41396, 41311, 41198, 41197, 41196, 41195, 41066, 40925, 40768, 40608, 40448, 40290, 40123, 39956, 39790, 39624, 39458, 39291, 39123, 38954, 38784, 38614, 38444, 38268, 38091, 37915, 37738, 37562, 37385, 37206"
